site,veg_type,Lat,Lon,Ele
arsmnswanlake1,AG,45.684508,-95.799703,370
hawbeckereddy,AG,40.6608,-77.848849,310
mandanh5,AG,46.775423,-100.95109,593
bartlettir,DB,44.0646,-71.2881,268
lacclair,DB,46.952092,-71.669578,313
willowcreek,DB,45.805986,-90.07912,521
bozeman,GR,45.783056,-110.777778,2332
grandteton,GR,43.915017,-110.578036,2054
konza,GR,39.0824,-96.5603,443
burnssagebrush,SH,43.4712,-119.6909,1398
usmpj,SH,34.43845,-106.254361,2126
NEON.D13.NIWO.DP1.00033,TU,40.05425,-105.58237,3493
NEON.D18.TOOL.DP1.00033,TU,68.66109,-149.37047,827
NEON.D19.DEJU.DP1.00033,EN,63.88112,-145.75136,504
NEON.D19.HEAL.DP1.00033,TU,63.87569,-149.21334,409
